code;descr;name
606;5ON;Digital Vehicle
607;40G;Field Logistics Planning and Execution
608;6BA;Field Logistics Planning and Execution - Containers and Voyages
609;5OM;Field Logistics Planning and Execution – Direct Procurement
610;4AH;Field Logistics Planning and Execution – Supplier Items
611;4ON;Mass Processing of Assets
612;4AG;Production Volume Capture
613;5NM;Revenue Accounting - Oil and Gas Production
614;BGI;Customer Project Analysis
615;J11;Customer Project Management - Project-Based Services
616;1IL;Event-Based Revenue Recognition - Project-Based Services
617;1P0;Event-Based Revenue Recognition - Project-Based Services - IFRS
618;33O;Event-Based Revenue Recognition - Project-Based Services - US GAAP
619;4AN;Intercompany Billing for Cross-Company Cost Accounting Postings
620;16T;Intercompany Processes - Project-Based Services
621;1A8;Internal Project Management - Project-Based Services
622;4E9;Project Billing - Project-Based Services
623;6JO;Resource Management for Projects
624;J14;Sales Order Processing - Project-Based Services
625;J13;Service and Material Procurement - Project-Based Services
626;BGJ;Utilization Analysis
627;3I5;Assortments
628;5FH;Business Partners for Retail
629;5FK;Empties for Retail
630;5FU;Inbound Logistics for Distribution Centers
631;3HU;In-Store Customer Order Management
632;3HR;In-Store Inventory Management
633;3HQ;In-Store Merchandise Management
634;5FY;In-Store Purchase Order Management
635;5FQ;Inventory Management for Distribution Centers
636;5FN;Invoice Verification for Retail
637;5FL;Merchandise Allocation
638;5FW;My Store Management
639;5FZ;Omnichannel Order Fulfillment for Retail
640;5FV;Outbound Logistics for Distribution Centers
641;5FS;Physical Inventory for Distribution Centers
642;5FM;Procurement for Retail
643;5FJ;Product Taxonomies for Retail
644;3I1;Products for Retail
645;3I8;Replenishment Planning for Distribution Centers
646;3I7;Replenishment Planning for Stores
647;69L;Retail Logistics with Embedded Warehouse Management
648;69M;Retail Logistics with Third-Party Warehouse Management
649;637;Retail Promotions
650;5FR;Returns from Store
651;5FO;Returns to Supplier for Retail
652;3HS;Sales from Distribution Center
653;5FT;Sales Price Valuation for Retail
654;3I4;Sales Pricing for Retail
655;3I3;Sites for Retail
656;3HV;Store Connectivity - Inbound
657;3I2;Store Connectivity - Outbound
658;5FX;Store Ordering from Distribution Center
659;5JT;Automation of Central Procurement Quotes with Ariba Network
660;BLF;Batch Management
661;4QN;Central Procurement with SAP Ariba Sourcing
662;2ME;Central Purchase Contracts
663;2XT;Central Purchasing
664;1XI;Central Requisitioning
665;3ZF;Central Sourcing
666;4B0;Contract for Central Procurement with SAP Ariba Contracts
667;4RD;Direct Material Sourcing
668;6AA;From Planning to Fulfillment – Consumer Products
669;3EN;Guided Buying for Central Procurement with SAP Ariba Buying
670;5W3;Procurement with and Without QM - Consumer Products
671;5HK;Quality Management in Discrete Manufacturing - Consumer Products
672;1JI;Real-Time Reporting and Monitoring for Procurement
673;5W4;Subcontracting - Consumer Products
674;6A6;Vendor Performance - Consumer Products
675;5HP;Advanced Intercompany Stock Transfer
676;2LH;Automated Invoice Settlement
677;5L6;Automated Invoice Settlement – Automotive
678;J82;Automated Purchase-to-Pay with SAP Ariba Commerce Automation
679;55F;Automotive Supply To Customer - Inventory Management
680;2TW;Complementary Procurement Functions
681;BNX;Consumable Purchasing
682;2TX;Direct Procurement with Inbound Delivery
683;6GD;Engineer Products and Systems - Project with Production
684;22K;External Workforce Procurement via SAP Fieldglass
685;5W6;Foreign Trade for Procurement
686;1P9;Intercompany Stock Transfer
687;2TS;Intercompany Stock Transfer Returns
688;1LE;Invoice Processing by OpenText
689;4N6;Invoice Processing with SAP Central Invoice Management
690;5FN;Invoice Verification for Retail
691;55E;Lot Size of One with Advanced Variant Configuration
692;J45;Procurement of Direct Materials
693;22Z;Procurement of Services
694;5W3;Procurement with and Without QM - Consumer Products
695;5HK;Quality Management in Discrete Manufacturing - Consumer Products
696;18J;Requisitioning
697;2UU;Returnable Packaging to Vendor
698;4R2;Service Procurement with Ariba Network and SAP Fieldglass
699;BMY;Subcontracting
700;5W4;Subcontracting - Consumer Products
701;5I2;Subcontracting with Ariba Network
702;2LG;Supplier Consignment
703;5HP;Advanced Intercompany Stock Transfer
704;2LH;Automated Invoice Settlement
705;J82;Automated Purchase-to-Pay with SAP Ariba Commerce Automation
706;42K;Automation of Source-to-Pay with Ariba Network
707;3ZB;Billing of Costs Between Affiliated Companies
708;2TW;Complementary Procurement Functions
709;BNX;Consumable Purchasing
710;2R3;Cross-Company Purchasing Organization
711;2TX;Direct Procurement with Inbound Delivery
712;6GD;Engineer Products and Systems - Project with Production
713;4AI;Guided Buying
714;2NV;Guided Buying Capability with SAP Ariba Buying
715;3EN;Guided Buying for Central Procurement with SAP Ariba Buying
716;2EJ;Integration of Procurement with External Suppliers
717;1P9;Intercompany Stock Transfer
718;2TS;Intercompany Stock Transfer Returns
719;1ZQ;Logistics with Third-Party Warehouse Management
720;55E;Lot Size of One with Advanced Variant Configuration
721;65D;MRP Change Request Integration with Ariba Network
722;1QR;Predictive Analytics for Purchase Contract Quantity Consumption
723;5FM;Procurement for Retail
724;J45;Procurement of Direct Materials
725;2XU;Procurement of Materials with Variant Configuration
726;41F;Procurement of Pipeline Materials
727;22Z;Procurement of Services
728;5W3;Procurement with and Without QM - Consumer Products
729;54U;Produce and Sell Standard Products - Inventory Management
730;2R7;Purchasing Rebate Processing
731;18J;Requisitioning
732;5FR;Returns from Store
733;5FO;Returns to Supplier for Retail
734;2NY;Scheduling Agreement for Consignment Procurement
735;2NX;Scheduling Agreement for Subcontracting Procurement
736;BMR;Scheduling Agreements in Procurement
737;BLL;Serial Number Management
738;4R2;Service Procurement with Ariba Network and SAP Fieldglass
739;BMY;Subcontracting
740;5W4;Subcontracting - Consumer Products
741;5I2;Subcontracting with Ariba Network
742;2LG;Supplier Consignment
743;2QU;Analytics - Purchase Order Visibility and Procurement Spend
744;5W3;Procurement with and Without QM - Consumer Products
745;1JI;Real-Time Reporting and Monitoring for Procurement
746;4R2;Service Procurement with Ariba Network and SAP Fieldglass
747;6A6;Vendor Performance - Consumer Products
748;4AZ;Contract Management with SAP Ariba Contracts
749;4RD;Direct Material Sourcing
750;6AA;From Planning to Fulfillment – Consumer Products
751;4RI;Preferred Supplier List
752;5W3;Procurement with and Without QM - Consumer Products
753;BMD;Purchase Contract
754;1XF;Request for Price
755;1XV;SAP S/4HANA for Enterprise Contract Management
756;4BL;Sourcing with SAP Ariba Sourcing
757;5OJ;Supplier Compliance in the Value Chain
758;3FY;Prediction of Delivery Date for Purchase Order Items
759;5W4;Subcontracting - Consumer Products
760;19E;Supplier Classification and Segmentation
761;SL4;Supplier Evaluation and Performance Monitoring
762;6A6;Vendor Performance - Consumer Products
763;1JW;Advanced Available-to-Promise Processing
764;6JM;Basic Business Process Scheduling
765;46P;Determination of Geocoordinates, Distances and Durations
766;1P9;Intercompany Stock Transfer
767;6BG;Intercompany Transportation - Outbound
768;6BH;Intercompany Transportation - Stock Transport Order
769;5OS;Manual Transportation Planning – Inbound
770;4MO;Manual Transportation Planning – Outbound
771;5XD;Manual Transportation Planning - Stock Transport Order
772;6B3;Manual Transportation Planning for Air Freight - Inbound
773;6B2;Manual Transportation Planning for Air Freight - Outbound
774;6B4;Manual Transportation Planning for Air Freight - STO
775;64B;Manual Transportation Planning for Ocean Freight - Inbound
776;64A;Manual Transportation Planning for Ocean Freight - Outbound
777;64C;Manual Transportation Planning for Ocean Freight - STO
778;5VV;Order-Based Transportation Consolidation - Inbound
779;3EP;Order-Based Transportation Consolidation – Outbound
780;5FV;Outbound Logistics for Distribution Centers
781;5XC;Stock Transport Order-Based Transportation Consolidation
782;4GH;Acquisition of Freight Invoices
783;5HP;Advanced Intercompany Stock Transfer
784;2LH;Automated Invoice Settlement
785;J82;Automated Purchase-to-Pay with SAP Ariba Commerce Automation
786;55F;Automotive Supply To Customer - Inventory Management
787;BLF;Batch Management
788;2TW;Complementary Procurement Functions
789;BMC;Core Inventory Management
790;1P7;Cross-Plant Transfer Posting
791;2TX;Direct Procurement with Inbound Delivery
792;4O0;Electronic Movement Control System
793;4LO;Enablement of SAP Excise Tax Management
794;6GD;Engineer Products and Systems - Project with Production
795;62R;Excise Tax - Consumer Products
796;5W6;Foreign Trade for Procurement
797;5FU;Inbound Logistics for Distribution Centers
798;5WI;Intra-Company Returns Stock Transfers
799;1ZQ;Logistics with Third-Party Warehouse Management
800;55E;Lot Size of One with Advanced Variant Configuration
801;4LU;Physical Inventory - Cycle Counting
802;BML;Physical Inventory - Inventory Count and Adjustment
803;5FS;Physical Inventory for Distribution Centers
804;J45;Procurement of Direct Materials
805;54U;Produce and Sell Standard Products - Inventory Management
806;2RU;Production Order Processing with Third-Party Warehouse Management
807;2F9;Quality Management for Complaints against Suppliers
808;2FA;Quality Management for Complaints from Customers
809;1FM;Quality Management in Procurement
810;1MP;Quality Management in Sales
811;1MR;Quality Management in Stock Handling
812;BMK;Return to Supplier
813;BGG;SAP Fiori Analytical Apps for Inventory and Warehouse Management
814;BME;Stock Transfer with Delivery
815;BMH;Stock Transfer Without Delivery
816;BMY;Subcontracting
817;2LG;Supplier Consignment
818;BLF;Batch Management
819;4MM;Handling Unit Management
820;BLL;Serial Number Management
821;55F;Automotive Supply To Customer - Inventory Management
822;2LN;Basic Available-to-Promise Processing
823;55E;Lot Size of One with Advanced Variant Configuration
824;54U;Produce and Sell Standard Products - Inventory Management
825;54V;Produce and Sell Standard Products - Warehouse Managed
826;5W4;Subcontracting - Consumer Products
827;63V;Mobile RF Devices in Warehousing
828;63W;Mobile RF Devices in Warehousing with Production Integration
829;63X;Mobile RF Devices in Warehousing with Quality Management
830;54V;Produce and Sell Standard Products - Warehouse Managed
831;3M0;Quality Management in Warehousing
832;4A2;Replenishment in Warehousing
833;3W0;Resource Management in Warehousing
834;69L;Retail Logistics with Embedded Warehouse Management
835;69M;Retail Logistics with Third-Party Warehouse Management
836;2VN;SAP EWM Integration - Batch Management
837;2VO;SAP EWM Integration - Customer Returns
838;2VM;SAP EWM Integration - Delivery-Based Production Integration
839;2VJ;SAP EWM Integration - Inbound Processing from Supplier
840;2VK;SAP EWM Integration - Outbound Processing to Customer
841;2VL;SAP EWM Integration - Stock Transport Orders
842;2YL;SAP EWM Integration - Warehouse Stock Handling
843;3BT;Warehouse Ad Hoc Goods Issue
844;6NI;Warehouse Advanced Production Integration
845;41U;Warehouse Goods Receipt from Repetitive Manufacturing
846;3BR;Warehouse Inbound Processing
847;5HN;Warehouse Inbound Processing with Synchronous Goods Receipt
848;5OK;Warehouse Internal Inspections
849;3BW;Warehouse Internal Repacking
850;3VT;Warehouse Kanban Supply into Production
851;3BS;Warehouse Outbound Processing
852;3BX;Warehouse Physical Inventory
853;3BU;Warehouse Posting Changes
854;3DV;Warehouse Production Integration
855;5HO;Warehouse Production Integration with Synchronous Goods Receipt
